"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.751960625E0,1.170534849E0,-5.192388296E-1,9.629319310E-1,1.602185601E0
1.761928625E0,1.280513525E0,-6.738798022E-1,1.027816296E0,1.774890197E0
1.771895625E0,1.337558270E0,-6.762933135E-1,1.090190649E0,1.853361924E0
1.781863125E0,1.364105225E0,-5.634453297E-1,1.127311826E0,1.857171413E0
1.791830125E0,1.432335854E0,-3.089588284E-1,1.142675281E0,1.858157246E0
1.801797125E0,1.619624257E0,1.329757273E-1,1.125973821E0,1.977038776E0
1.811764125E0,1.884433508E0,7.142670751E-1,1.078894973E0,2.285887456E0
1.821731125E0,2.062486172E0,1.147134900E0,9.814877510E-1,2.555990198E0
1.831698125E0,2.108310223E0,1.171072721E0,8.783491850E-1,2.566686698E0
1.841665125E0,1.988305926E0,6.910067797E-1,8.430929184E-1,2.267522105E0
1.851633125E0,1.636757970E0,1.179671288E-2,9.078122377E-1,1.871694119E0
1.861600125E0,1.114654303E0,-3.843053579E-1,1.025448680E0,1.562590739E0
1.871567125E0,5.976254940E-1,-1.335740685E-1,1.102768421E0,1.261386718E0
1.881534125E0,1.441235393E-1,4.936525524E-1,1.081837654E0,1.197846880E0
1.891501125E0,-1.969522834E-1,1.002031446E0,1.000515461E0,1.429646253E0
1.901468125E0,-4.038862586E-1,1.124018669E0,9.075708985E-1,1.500075670E0
1.911435125E0,-4.814395308E-1,9.404794574E-1,8.293167949E-1,1.343150021E0
1.921402125E0,-4.706864953E-1,6.769301295E-1,7.652970552E-1,1.124926558E0
1.931369125E0,-4.230591953E-1,5.279366374E-1,6.840721369E-1,9.621075118E-1
1.941337125E0,-3.450101912E-1,5.553001165E-1,5.827494860E-1,8.757780626E-1
1.951304125E0,-2.513055503E-1,7.060113549E-1,5.073124170E-1,9.049709395E-1
1.961271125E0,-2.037329674E-1,8.695943952E-1,4.966451824E-1,1.021938340E0
1.971238125E0,-2.625684738E-1,9.583975077E-1,5.217255354E-1,1.122348217E0
1.981205125E0,-4.082979858E-1,9.655292034E-1,5.152984858E-1,1.168112331E0
1.991172125E0,-5.563949347E-1,8.862629533E-1,4.767031670E-1,1.149905759E0
2.001139125E0,-6.405961514E-1,7.224015594E-1,4.204396307E-1,1.053089229E0
2.011106125E0,-6.289398074E-1,5.339171290E-1,3.593000472E-1,8.998496018E-1
2.021074125E0,-5.202553868E-1,3.777355254E-1,3.214059174E-1,7.187847789E-1
2.031041125E0,-3.342082202E-1,2.315644920E-1,2.676824927E-1,4.867968420E-1
2.041008125E0,-1.121003106E-1,4.147151485E-2,1.570646614E-1,1.973719181E-1
2.050975125E0,7.530079782E-2,-2.217746377E-1,5.578901246E-2,2.407625677E-1
2.060942125E0,1.509950161E-1,-5.344478488E-1,-4.906522855E-2,5.575315190E-1
2.070909125E0,3.324333206E-2,-8.880254030E-1,-2.513958812E-1,9.235226714E-1
2.080876125E0,-2.747174203E-1,-1.267163992E0,-5.252364874E-1,1.398945178E0
2.090843125E0,-6.486392617E-1,-1.430896997E0,-7.452707291E-1,1.738858122E0
2.100810125E0,-9.640645981E-1,-1.404469132E0,-9.463812113E-1,1.948741001E0
2.110777125E0,-1.170569062E0,-1.299848914E0,-1.204325438E0,2.123732302E0
2.120745125E0,-1.308451533E0,-1.211391449E0,-1.505351782E0,2.333580649E0
2.130712125E0,-1.458890080E0,-1.218982458E0,-1.799289942E0,2.617579568E0
2.140679125E0,-1.623528242E0,-1.273122072E0,-2.057209492E0,2.913553613E0
2.150646125E0,-1.727219820E0,-1.325850010E0,-2.233808756E0,3.119465998E0
2.160613125E0,-1.817917228E0,-1.294130206E0,-2.316098213E0,3.216194486E0
2.170580125E0,-1.916947126E0,-1.209965229E0,-2.355596781E0,3.269180071E0
2.180547125E0,-2.039730310E0,-1.124757171E0,-2.441176176E0,3.374154643E0
2.190514125E0,-2.260063410E0,-8.777061105E-1,-2.571875811E0,3.534515500E0
2.200481125E0,-2.587136269E0,-3.733353913E-1,-2.714609623E0,3.768522097E0
2.210449125E0,-2.996078968E0,3.116131127E-1,-2.817087173E0,4.124266245E0
2.220416125E0,-3.411634207E0,9.535161853E-1,-2.866270781E0,4.556747663E0
2.230383125E0,-3.704705954E0,1.309853435E0,-2.820120096E0,4.836697177E0
2.240350125E0,-3.815724373E0,1.446932673E0,-2.690801382E0,4.888126300E0
2.250317125E0,-3.746049166E0,1.532747507E0,-2.497866154E0,4.756210108E0
2.260284125E0,-3.552299976E0,1.658906341E0,-2.279382467E0,4.535018170E0
2.270251125E0,-3.222456694E0,1.736411929E0,-2.017712116E0,4.179774601E0
2.280218125E0,-2.737653732E0,1.605806231E0,-1.725191116E0,3.612429376E0
2.290186125E0,-1.963452220E0,9.187200069E-1,-1.380866408E0,2.570210713E0
2.300153125E0,-9.304459691E-1,-1.210473329E-1,-9.312038422E-1,1.321939013E0
2.310120125E0,5.470234528E-2,-8.352909088E-1,-5.111398697E-1,9.807992737E-1
2.320087125E0,8.256637454E-1,-8.977833390E-1,-2.424423695E-1,1.243589099E0
2.330054125E0,1.390471816E0,-5.195721388E-1,-1.619123816E-1,1.493178723E0
2.340021125E0,1.623993278E0,-2.201827168E-1,-3.306044638E-1,1.671865397E0
2.349988125E0,1.369859576E0,-2.582503855E-1,-7.053622007E-1,1.562288179E0
2.359955125E0,9.041061401E-1,-3.144691885E-1,-1.083821654E0,1.446018036E0
2.369922125E0,4.443018436E-1,-5.591580272E-1,-1.340833783E0,1.519176442E0
2.379890125E0,2.384922206E-1,-9.078826904E-1,-1.386207938E0,1.674127225E0
2.389857125E0,2.928919196E-1,-1.277401805E0,-1.278162122E0,1.830639084E0
2.399824125E0,4.872803092E-1,-1.664011359E0,-1.147487402E0,2.079207359E0
2.409791125E0,6.835533381E-1,-1.758451581E0,-9.709079266E-1,2.121805677E0
2.419758125E0,7.852038145E-1,-1.522596478E0,-7.822799683E-1,1.883296847E0
2.429725125E0,7.741999030E-1,-1.022080421E0,-5.803018212E-1,1.407403312E0
2.439692125E0,6.944755316E-1,-4.620594084E-1,-3.834958375E-1,9.180763684E-1
2.449659125E0,6.365754008E-1,-7.045932114E-2,-1.960590631E-1,6.697999053E-1
2.459626125E0,6.178866625E-1,1.602178365E-1,-3.992246464E-2,6.395682028E-1
2.469594125E0,6.480682492E-1,3.107634485E-1,1.071171612E-1,7.266639270E-1
2.479561125E0,7.161423564E-1,4.996180534E-1,2.670756876E-1,9.131306023E-1
2.489528125E0,8.000774980E-1,7.287117839E-1,4.610596299E-1,1.176316645E0
2.499495125E0,9.031141400E-1,8.836736679E-1,7.316882014E-1,1.460089698E0
2.509462125E0,1.002360582E0,9.182038307E-1,1.088006139E0,1.741143983E0
2.519429125E0,1.086986065E0,8.184556365E-1,1.508357882E0,2.031391601E0
