"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.521873125E0,7.372261882E-1,3.776171207E-1,3.311870098E-1,8.920661287E-1
1.531841125E0,1.038260102E0,5.882440805E-1,-3.635318950E-2,1.193874655E0
1.541808125E0,9.571721554E-1,9.655753970E-1,-3.537604213E-1,1.404870392E0
1.551776125E0,6.231510043E-1,1.156938910E0,-6.376615167E-1,1.460628983E0
1.561743125E0,3.654521108E-1,7.201511264E-1,-8.048803806E-1,1.140177757E0
1.571711125E0,2.371491492E-1,-3.565518856E-1,-6.601047516E-1,7.868336858E-1
1.581678125E0,1.860936880E-1,-1.249760747E0,-1.191581786E-1,1.269145956E0
1.591646125E0,3.465021253E-1,-1.263464212E0,3.536918461E-1,1.357020067E0
1.601613125E0,5.322906375E-1,-6.246523261E-1,8.087280989E-1,1.152200065E0
1.611581125E0,6.764054298E-1,-5.260429531E-2,1.165323257E0,1.348432353E0
1.621548125E0,8.579283357E-1,-4.360947013E-2,1.331859231E0,1.584863346E0
1.631515125E0,9.841929674E-1,-7.224186063E-1,1.282478809E0,1.770671154E0
1.641483125E0,7.582218647E-1,-1.395970345E0,1.080542445E0,1.921251044E0
1.651450125E0,2.604391873E-1,-1.461279273E0,8.153299093E-1,1.693495954E0
1.661418125E0,-1.405572444E-1,-1.213258386E0,5.716445446E-1,1.348528730E0
1.671385125E0,-4.506079257E-1,-8.546975255E-1,4.263652563E-1,1.056097862E0
1.681353125E0,-7.131234407E-1,-4.624232650E-1,3.709454238E-1,9.273515111E-1
1.691320125E0,-9.189518690E-1,-8.520071954E-2,3.805167973E-1,9.982608543E-1
1.701288125E0,-9.969497323E-1,3.077502847E-1,4.343435466E-1,1.130165175E0
1.711255125E0,-9.238321781E-1,6.946791410E-1,5.191650987E-1,1.267113808E0
1.721223125E0,-6.943907142E-1,9.868380427E-1,6.129589677E-1,1.353420290E0
1.731190125E0,-3.179506063E-1,1.181197524E0,6.993493438E-1,1.409045664E0
1.741158125E0,1.241170838E-1,1.280969620E0,7.744894028E-1,1.502039298E0
1.751125125E0,4.777480066E-1,1.221173882E0,8.210252523E-1,1.547123548E0
1.761092125E0,6.698524952E-1,9.401355386E-1,8.263936043E-1,1.419677282E0
1.771060125E0,7.349782586E-1,4.791125655E-1,7.886152864E-1,1.179684687E0
1.781027125E0,7.580348253E-1,-2.733810991E-2,7.266038060E-1,1.050389099E0
